Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
226,130,976082,11708213,29820
227,123,977906,11708285,32586
228,123,976413,11693092,32380
229,122,975318,11716106,32687
230,115,975289,11712310,31794
231,115,979446,11691512,32688
232,116,976456,11711088,31994
233,116,977480,11713039,35079
234,179,976682,11705529,32048
235,135,976569,11703170,30709
236,123,976583,11707266,32284
237,128,974770,11711509,32783
238,123,977006,11713266,32868
239,124,978115,11698973,33390
240,135,976926,11689919,33106
241,135,976319,11686510,31710
242,129,981408,11691916,33093
243,129,973991,11708793,33026
244,128,977023,11710166,31406
245,121,973975,11708738,31618
246,122,975134,11708277,32365
247,131,975354,11704488,30617
248,134,976524,11705511,28258
249,138,973940,11692294,33001
250,130,974257,11708601,31400
251,128,974091,11689224,31795
252,122,979079,11701144,32502
253,122,977552,11716941,28714
254,122,975578,11709839,33012
255,169,976079,11695912,32530
256,122,979885,11697865,30239
257,122,976718,11696988,31425
258,177,977021,11697497,28838
259,121,980369,11696814,32494
260,128,974576,11693904,28486
261,130,977077,11669681,32461
262,125,979959,11700320,31478
263,124,974871,11700836,32747
264,123,979351,11696015,32334
265,122,975079,11697378,31212
266,129,976723,11710666,33098
267,136,978590,11675660,29119
268,135,973687,11699854,32629
269,129,974925,11707472,32206
270,121,978130,11696111,34268
271,137,974789,11713665,28038
272,123,976790,11701325,31733
273,135,978122,11714975,31349
274,136,977927,11693077,31448
275,129,981078,11714234,31103
276,125,978138,11694787,32396
277,122,975111,11683047,32379
278,131,974907,11709458,33490
279,123,975421,11699986,32563
280,126,977916,11703303,32879
281,129,977445,11714327,32639
282,125,977606,11687647,28707
283,135,977691,11705962,30895
284,122,979892,11713445,32262
285,126,975701,11694341,31731
286,129,978004,11700347,31076
287,126,976479,11712606,32631
288,126,979848,11708528,30968
289,122,978408,11714635,32321
290,126,979024,11708465,32857
291,179,974949,11699900,33433
292,117,978544,11706714,29172
293,115,982160,11706317,32501
294,116,974506,11705480,32918
295,120,976171,11704733,31324
296,115,974389,11712144,33237
297,116,973700,11703727,32438
298,128,979069,11708554,28359
299,122,981573,11696042,31540
300,121,977950,11695784,32752
301,128,978437,11708385,32104
302,136,978729,11688325,31283
303,136,977447,11694184,26676
304,123,979073,11709800,33622
305,137,978036,11702642,32698
306,177,977692,11713445,32424
307,123,977090,11693410,30696
308,128,977018,11701112,33004
309,121,975707,11703527,32702
310,134,975593,11707318,33781
311,125,976548,11696700,33604
312,123,978936,11703852,32535
313,129,975888,11698837,32914
314,137,976526,11693116,32592
315,135,975684,11697555,29730
316,123,977277,11693344,32339
317,123,974733,11697662,31836
318,126,977845,11715396,33299
319,129,979315,11695314,30504
320,115,978354,11707271,32334
321,123,976726,11689154,33678
322,130,979224,11717143,32109
323,137,979706,11704599,32105
324,136,976385,11706982,33184
325,124,974158,11693937,33107
