Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
976,122,978092,11693026,31874
977,122,978036,11706344,30934
978,123,978094,11704960,31794
979,122,976173,11716426,31956
980,122,977875,11684423,32448
981,129,979691,11687680,32306
982,129,977598,11702033,32537
983,121,977197,11693176,32266
984,177,976263,11684549,31560
985,121,979231,11720115,31672
986,128,977670,11701672,32183
987,130,975845,11698862,32331
988,126,978551,11702889,28931
989,122,974838,11702099,33200
990,129,980137,11702969,31099
991,135,976856,11702194,27935
992,128,975650,11675888,31984
993,120,978098,11715252,28714
994,122,976202,11702989,32415
995,122,979960,11712798,31830
996,128,976203,11712483,30156
997,136,977785,11675512,26557
998,128,977009,11708405,32557
999,126,975513,11705973,32922
1000,122,979052,11712375,28441
