Iteration, Key Generation Time seconds, Shared Secret Time seconds, AES Encryption Time seconds, Key Generation Time seconds, Shared Secret Time seconds, AES Decryption Time seconds
86,0.003005,0.010270,0.000049,0.003005,0.010270,0.000027
87,0.003243,0.010869,0.000053,0.003243,0.010869,0.000026
88,0.003254,0.010837,0.000053,0.003254,0.010837,0.000023
89,0.003242,0.010549,0.000053,0.003242,0.010549,0.000025
90,0.002984,0.009873,0.000052,0.002984,0.009873,0.000024
91,0.003094,0.009940,0.000049,0.003094,0.009940,0.000024
92,0.003150,0.010077,0.000073,0.003150,0.010077,0.000025
93,0.002583,0.009193,0.000038,0.002583,0.009193,0.000021
94,0.002640,0.009441,0.000052,0.002640,0.009441,0.000023
95,0.002834,0.009487,0.000047,0.002834,0.009487,0.000023
96,0.002873,0.009704,0.000047,0.002873,0.009704,0.000026
97,0.002994,0.009868,0.000044,0.002994,0.009868,0.000025
98,0.002952,0.009931,0.000048,0.002952,0.009931,0.000023
99,0.003096,0.009853,0.000049,0.003096,0.009853,0.000027
100,0.003085,0.010343,0.000054,0.003085,0.010343,0.000025
101,0.003143,0.010344,0.000046,0.003143,0.010344,0.000025
102,0.003216,0.010551,0.000066,0.003216,0.010551,0.000024
103,0.003227,0.010324,0.000048,0.003227,0.010324,0.000026
104,0.003180,0.010674,0.000051,0.003180,0.010674,0.000026
105,0.003134,0.010974,0.000051,0.003134,0.010974,0.000026
106,0.003295,0.010620,0.000066,0.003295,0.010620,0.000025
107,0.003210,0.010693,0.000049,0.003210,0.010693,0.000025
108,0.003132,0.010335,0.000056,0.003132,0.010335,0.000025
109,0.003156,0.010570,0.000048,0.003156,0.010570,0.000025
110,0.003123,0.010429,0.000049,0.003123,0.010429,0.000026
111,0.003178,0.010634,0.000058,0.003178,0.010634,0.000028
112,0.003053,0.010832,0.000052,0.003053,0.010832,0.000027
113,0.003907,0.010646,0.000068,0.003907,0.010646,0.000027
114,0.002981,0.010203,0.000055,0.002981,0.010203,0.000028
115,0.002957,0.010182,0.000056,0.002957,0.010182,0.000026
116,0.002779,0.009246,0.000051,0.002779,0.009246,0.000024
117,0.002813,0.009250,0.000067,0.002813,0.009250,0.000027
118,0.002697,0.009359,0.000052,0.002697,0.009359,0.000025
119,0.002680,0.009409,0.000064,0.002680,0.009409,0.000027
120,0.002839,0.009894,0.000068,0.002839,0.009894,0.000023
121,0.002766,0.009015,0.000045,0.002766,0.009015,0.000023
